13-03-2023 22:35:44 [pool-1-thread-4] INFO  c.e.project.service.ShippingService - 3 deliveries completed for Satu Mare”
13-03-2023 22:35:44 [pool-1-thread-4] INFO  c.e.project.service.ShippingService - Starting 2 deliveries for Constanta on pool-1-thread-4 for 23 km
13-03-2023 22:35:44 [pool-1-thread-2] INFO  c.e.project.service.ShippingService - 1 deliveries completed for Cluj”
13-03-2023 22:35:44 [pool-1-thread-2] INFO  c.e.project.service.ShippingService - Starting 2 deliveries for Ploiesti on pool-1-thread-2 for 10 km
13-03-2023 22:35:44 [pool-1-thread-1] INFO  c.e.project.service.ShippingService - 2 deliveries completed for Iasi”
13-03-2023 22:35:44 [pool-1-thread-1] INFO  c.e.project.service.ShippingService - Starting 2 deliveries for Craiova on pool-1-thread-1 for 18 km
13-03-2023 22:35:44 [pool-1-thread-2] INFO  c.e.project.service.ShippingService - 2 deliveries completed for Ploiesti”
13-03-2023 22:35:44 [pool-1-thread-4] INFO  c.e.project.service.ShippingService - 2 deliveries completed for Constanta”
13-03-2023 22:35:44 [pool-1-thread-3] INFO  c.e.project.service.ShippingService - 2 deliveries completed for Oradea”
13-03-2023 22:35:44 [pool-1-thread-1] INFO  c.e.project.service.ShippingService - 1 deliveries completed for Craiova”
13-03-2023 22:42:24 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
13-03-2023 22:42:24 [SpringApplicationShutdownHook] INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
13-03-2023 22:42:24 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
13-03-2023 22:42:24 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
13-03-2023 22:42:30 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
13-03-2023 22:42:30 [main] INFO  c.e.p.LogisticsSystemApplication - Starting LogisticsSystemApplication using Java 17.0.6 with PID 67837 (/Users/alexandra/FinalProject/target/classes started by alexandra in /Users/alexandra/FinalProject)
13-03-2023 22:42:30 [main] INFO  c.e.p.LogisticsSystemApplication - No active profile set, falling back to 1 default profile: "default"
13-03-2023 22:42:30 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
13-03-2023 22:42:30 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32 ms. Found 2 JPA repository interfaces.
13-03-2023 22:42:30 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13-03-2023 22:42:30 [main] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
13-03-2023 22:42:31 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
13-03-2023 22:42:31 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
13-03-2023 22:42:31 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13-03-2023 22:42:31 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
13-03-2023 22:42:31 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13-03-2023 22:42:31 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 969 ms
13-03-2023 22:42:31 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13-03-2023 22:42:31 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:file:/Users/alexandra/FinalProject/src/main/resources user=SA
13-03-2023 22:42:31 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
13-03-2023 22:42:31 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:file:/Users/alexandra/FinalProject/src/main/resources'
13-03-2023 22:42:31 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
13-03-2023 22:42:31 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
13-03-2023 22:42:31 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
13-03-2023 22:42:32 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
13-03-2023 22:42:32 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
